steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
5000	5	16.23929500579834	-0.9624777446614158	-0.5860072343407023	2.069525345440907	2.2658442923101876	-4.831459196628693	nan	nan	nan	nan	0	nan	1.0
10000	10	41.782235860824585	-0.31985342603265016	-0.2991519942721026	1.4998075745671497	2.028094500250358	-3.1988294890191185	0.14188398	0.024879582	37.34556579589844	36.635066986083984	1	-2.9371421	0.9997000694274902
15000	15	252.7311360836029	-3.761966431641792	-4.115495431752736	4.965285664494394	2.648029983485324	-11.846561639041644	36.034637	36.04546	0.7844450616836548	0.7786437225341797	5001	3.416216	0.28994473814964294
20000	20	449.66237807273865	-297.15460544353164	-298.0861788484448	4.142376340793516	-288.3899006177698	-302.0248688749761	36.394825	36.512264	0.8651151376962661	0.8647910100221634	10001	1.2314534	0.0996273085474968
25000	25	649.8760068416595	477.57706577757733	393.7962611088754	324.19538011025986	1222.912726613099	142.13750436414816	32.28249	32.293	0.6840964555740356	0.7002433025836945	15001	-1.2909951	0.036697834730148315
30000	30	850.5052840709686	1755.878965952337	2196.762457644668	789.510024601218	2278.702738403001	149.45019413590418	35.232655	35.2025	0.9021281832456589	0.9526422989368438	20001	-5.4018846	0.017628010362386703
35000	35	1052.475233078003	2579.1164405662257	2818.039926792737	803.1858365276656	2988.472813096444	306.9644720155804	41.65571	41.62155	1.506233783364296	1.5260922449827194	25001	-6.2534423	0.0229465514421463
40000	40	1256.9984929561615	2690.407315599746	2791.319502062336	387.3575643811907	3026.0197200261105	1670.0218749844817	60.78129	60.822178	1.8990939199924468	1.9246744799613953	30001	-6.0885644	0.035151220858097076
45000	45	1460.2025220394135	2653.9846955684384	3219.2339413334357	1265.0859393973053	3504.868069322576	20.249439894165477	80.191185	80.20669	2.590930999517441	2.606448404788971	35001	-5.7705226	0.04626757279038429
50000	50	1663.0114171504974	3424.016639531932	3425.766206144929	75.34968979992631	3517.087834066331	3268.43360817216	98.458916	98.54278	3.3499897122383118	3.3743128418922423	40001	-6.0220146	0.044606853276491165
55000	55	1872.5014929771423	3382.1765476908668	3563.792060133716	701.2748723614923	3916.597729763038	1476.1459070357896	112.279015	112.43883	3.9696943664550783	3.950831341743469	45001	-6.111574	0.052239157259464264
60000	60	2078.5808460712433	3629.641205260844	3677.096555865297	164.3402401552606	3843.3495918098924	3336.7028068581535	132.67953	132.76389	4.7333859968185426	4.697186579704285	50001	-6.0319405	0.05785198137164116
65000	65	2287.7965540885925	4291.566041248176	4285.582393638457	117.38088858376683	4473.994793802374	4141.792598907688	144.91618	144.76553	4.8905164337158205	4.8371259570121765	55001	-6.1135483	0.06449181586503983
70000	70	2500.5500469207764	4597.588954973425	4621.636370138853	102.35071272293574	4739.726075889681	4461.010573496594	164.92569	164.8866	4.7480804014205935	4.700849726200103	60001	-5.88987	0.07079331576824188
75000	75	2710.3815081119537	4903.798567623626	4903.226286912159	189.3020642357865	5175.798020254182	4602.4617053664915	180.4796	180.43768	6.011474809646606	5.889968230724334	65001	-6.043086	0.07573293894529343
80000	80	2915.331480026245	3993.8660825472352	4604.093102349193	1327.9349475020333	4866.500619122764	1496.3967198242724	195.79556	195.85437	6.999775874614715	6.8836542510986325	70001	-5.8125544	0.08504633605480194
85000	85	3128.4019479751587	5514.296729752553	5541.558658906422	81.90524472912611	5590.17295476925	5316.579157692354	211.49657	211.55844	6.96536676645279	6.768539800643921	75001	-6.077666	0.08930651098489761
90000	90	3345.6176340579987	4877.339217055836	4879.627922662416	148.50127661487258	5096.712223172129	4627.983854682101	229.21819	229.07512	7.194081273078918	7.126181411743164	80001	-5.9458723	0.09618090838193893
95000	95	3574.7426159381866	5645.477232106477	5612.018330795556	94.32431636468083	5811.010488829647	5552.301211313564	246.12633	246.10889	7.2382522439956665	7.256876997947693	85001	-6.0219026	0.10623376071453094
100000	100	3787.350247859955	5833.237187393216	5824.4498618462485	77.0915103869794	5971.540719947742	5668.577659318404	253.30952	252.98294	7.416163063049316	7.375130233764648	90001	-5.8368177	0.11275377869606018
105000	105	4000.0786077976227	5754.592655442035	5755.153855924478	58.15210242175581	5863.339864795624	5664.631969629829	273.44147	273.5037	6.558255496025086	6.578785750865936	95001	-6.0606375	0.12084256112575531
110000	110	4216.472242832184	6047.3635266761985	6075.193501718425	82.81509166564354	6136.244186294877	5893.177986582027	287.87744	287.60605	7.190026078224182	7.035080065727234	100001	-6.2499027	0.12385077029466629
115000	115	4439.016295909882	6068.506332216482	6072.006234488037	90.268181655307	6276.45669773162	5970.9482227146445	293.63782	293.6505	7.06604238986969	7.136249146461487	105001	-6.047885	0.12768682837486267
120000	120	4679.148177862167	6137.642965582798	6152.099513278166	92.293876329721	6238.802180036737	5965.748530351711	300.50406	300.5402	6.716691374778748	6.648959226608277	110001	-5.8209367	0.13219183683395386
125000	125	4943.172289133072	5845.637029928253	5833.520198419805	62.307795342940125	5942.627670116396	5750.604239023668	312.5098	312.4317	6.670285210609436	6.724988403320313	115001	-5.919221	0.13306279480457306
130000	130	5156.838346004486	6436.28477718892	6435.530464301639	89.64168652864142	6640.589995289834	6321.001308638083	324.18063	324.08612	6.516230554580688	6.464242649078369	120001	-5.765927	0.1398191601037979
135000	135	5374.1928470134735	5888.4034323020105	5885.962385788638	105.8829379750777	6029.088856139499	5659.270908709285	328.06842	328.22156	6.525409007072449	6.527912151813507	125001	-6.411193	0.14225207269191742
140000	140	5614.2298929691315	6254.316796457135	6245.455770877299	49.42853303478691	6328.496813103247	6153.704998612813	330.46457	330.38412	6.409438507556915	6.248064653873444	130001	-5.5186863	0.1441579908132553
145000	145	5842.061874866486	6209.763368102123	6181.118866265289	95.11073916300724	6359.122111815285	6088.483668721641	337.1448	337.35892	6.318195343017578	6.164164311885834	135001	-5.7530975	0.14534980058670044
150000	150	6090.046943902969	6391.802213022155	6422.72254963821	86.80184357318865	6526.021345444467	6278.05395760669	357.46213	357.42102	5.900289154052734	5.865442559719086	140001	-6.1820703	0.14506107568740845
155000	155	6321.867919206619	6450.451380792569	6457.052760271257	84.31528874866153	6558.8579187600635	6295.0071174818195	363.4164	363.41928	5.990382120609284	5.931530575752259	145001	-6.0477514	0.1486118584871292
160000	160	6537.616604804993	5981.2902663004115	5981.9739134585825	60.14865792667001	6047.024696703672	5838.989862853409	372.419	372.30826	6.004399845600128	5.861732966899872	150001	-6.0187383	0.1496160328388214
165000	165	6755.315753936768	6442.454033312042	6438.582526228872	81.06441906069844	6585.1179095254265	6342.901692035005	369.7847	369.5075	6.1765319442749025	6.094369144439697	155001	-5.874707	0.15484704077243805
170000	170	6969.16302895546	6508.587926984526	6496.985931874182	72.10273107354449	6650.005090784927	6403.923202846799	369.3298	369.22955	5.963707685470581	5.817147948741913	160001	-5.813373	0.15705569088459015
175000	175	7186.020132064819	6642.726846030003	6647.58999446393	79.20194941063089	6809.785822030273	6518.298414180006	383.43018	383.40762	5.2747576355934145	5.30892308473587	165001	-6.0668592	0.15799176692962646
180000	180	7392.326303958893	6743.671688642763	6750.982379125757	81.25236795984995	6855.909952100058	6586.622134193303	384.7943	385.12482	5.809515295028686	5.562160518169403	170001	-5.791671	0.15960875153541565
185000	185	7603.728546142578	6430.6291066585645	6419.441820346308	65.77746668153138	6593.629461698407	6364.701577456737	393.5416	393.4209	5.421663160324097	5.242378778457642	175001	-6.131006	0.15834815800189972
190000	190	7886.531736135483	6467.645720144644	6443.629557356537	76.99303676254691	6604.202381511594	6362.498591143505	401.4348	401.2699	5.7837073802948	5.592642993927002	180001	-6.004343	0.1598520129919052
195000	195	8173.971863031387	4919.900825516083	4904.893446603157	70.6916359817996	5100.5563664975625	4840.422257365702	408.04428	408.18463	5.670430538654327	5.554062592983246	185001	-5.8635225	0.16412727534770966
200000	200	8387.418073177338	6969.411645689056	6966.703333494996	103.62993898199312	7180.079670105581	6830.240518607895	416.5746	416.3316	5.366286554336548	5.224342684745789	190001	-6.10876	0.1610972136259079
205000	205	8575.658032894135	7004.862045277875	7029.183889975169	74.53041029550907	7079.210584734189	6900.551026363009	417.17862	417.2313	5.476666305065155	5.340287346839904	195001	-6.0069494	0.16241568326950073
210000	210	8764.843439102173	6430.165902336538	6433.222499153271	49.090285832306336	6505.769997857296	6356.187171107059	425.5976	425.4856	5.250060355663299	5.165079483985901	200001	-6.152607	0.16562101244926453
215000	215	8956.178916931152	7167.1125375100655	7167.356355307301	26.634163237162674	7216.964269273949	7128.796414679398	426.6428	426.66953	5.532519180774688	5.474554262161255	205001	-5.8790975	0.17154726386070251
220000	220	9151.096208810806	6936.035557164052	6945.162659557084	79.24499565715801	7044.535907231467	6765.696244308645	434.68808	434.65637	5.2148362159729	5.093264677524567	210001	-5.9721622	0.16944290697574615
225000	225	9341.061960935593	7111.171441935205	7137.437406708732	63.108056824647996	7187.941564796109	7010.388956465503	443.8738	443.8145	5.472992272377014	5.270836837291718	215001	-6.2074113	0.17028602957725525
230000	230	9530.885150909424	7215.279688345602	7216.754610075838	74.86886799891698	7305.8380182186565	7087.575226364593	443.67545	443.67	6.047536020278931	5.881432564258575	220001	-6.087252	0.1684480756521225
235000	235	9723.172836780548	7141.5839925409055	7130.883322747919	84.37389311309545	7280.439627974656	6964.979156271698	442.1415	442.32816	5.630338785648346	5.464682638645172	225001	-5.8679094	0.1753208339214325
240000	240	9914.801614046097	7168.98565372217	7156.909337380004	84.8735910132624	7360.1582060352275	7060.002584425303	455.42242	455.42462	5.765928461551666	5.589990479946136	230001	-6.275629	0.17364975810050964
245000	245	10105.153839826584	7333.010954363995	7318.338521440208	75.04900981266147	7468.755490613147	7217.081613658251	449.5367	449.22153	5.411076786518097	5.17184118270874	235001	-5.856355	0.178362175822258
250000	250	10297.611490011215	7353.730884997838	7371.109118136492	85.10055126555234	7449.708906169209	7198.463223361005	464.10028	464.15683	5.324283235073089	5.099233267307281	240001	-5.8511853	0.17798322439193726
255000	255	10489.28047800064	7389.878103570085	7395.81503223403	50.41333081523807	7480.4328738842805	7313.066008221717	471.94916	472.02774	4.939272322654724	4.809729008674622	245001	-6.193787	0.17538996040821075
260000	260	10681.12502503395	7430.054870008516	7411.871304292023	84.62751802855571	7556.843187038719	7305.521341748919	471.34595	471.40857	5.39630047082901	5.16289630651474	250001	-6.177463	0.1753820925951004
265000	265	10873.36897110939	7463.677094037344	7456.182814023879	97.96418903034755	7654.841060504806	7299.600987757539	472.63245	472.67218	5.137092320919037	4.9686043429374696	255001	-6.009189	0.17641931772232056
270000	270	11070.349427938461	7494.856186165487	7491.914225239222	91.32257075544835	7592.086883371142	7274.189191054613	480.26794	480.3011	5.6668428659439085	5.224307363033295	260001	-5.5962024	0.17558491230010986
