steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
5000	5	74.51725006103516	5019.882989224277	5288.468399620844	769.154954017038	5345.91179484565	2854.8127691375867	nan	nan	nan	nan	830005	nan	0.027634670957922935
10000	10	135.90431094169617	4647.528090149356	5305.974386841775	1475.7428542942766	5339.790130227241	995.6854322043886	487.7853	487.32983	7.666891574859619	4.156376838684082	830006	-3.320605	0.027628004550933838
15000	54	436.7332489490509	404.84460378089955	390.94427024990483	150.84822287210648	652.8546833825995	214.81457634552885	481.2228	481.14587	15.85832995891571	16.6244269657135	835006	-24.088427	0.037613287568092346
20000	115	728.3197009563446	604.6330880260393	619.8346278170877	150.35545343236944	863.9074833084371	388.9674320839419	480.07364	479.90778	33.304227924346925	32.831096744537355	840006	-17.374306	0.07999660074710846
25000	166	1022.3358697891235	421.46714495260784	460.9885593087147	117.92181881249037	560.4115795794619	188.02433280910202	475.29074	477.1133	57.41040765762329	56.85732666015625	845006	-17.457947	0.11637799441814423
30000	216	1332.7589719295502	426.35731674397937	416.6082951342098	88.82441518784483	600.1081439154451	291.5532031988939	487.92603	486.85513	74.78759731292725	75.72144989013673	850006	-16.58874	0.1187380701303482
35000	263	1634.1685559749603	579.6593836185391	589.5263995932628	203.04392087872424	835.0159476709064	241.56625477443933	489.38205	490.52032	117.18223304748535	114.42423873901367	855006	-17.019796	0.14595761895179749
40000	319	1949.3286209106445	822.4958134191252	829.190333938572	149.77922290957338	1017.0886293643224	584.1421210712646	494.31525	492.1229	119.93974479675293	112.90794174194336	860006	-16.752941	0.15688343346118927
45000	363	2262.1830039024353	797.2901650540126	744.4623663444108	407.02934716798455	1658.6803523157794	301.13665657424	477.62006	477.70056	137.97291496276856	136.61390953063966	865006	-17.289858	0.1543188840150833
50000	411	2568.3191690444946	625.0427233574819	601.0269767782529	209.6254830970154	920.0485557244854	320.5429649165657	458.09967	456.95175	140.02844581604003	139.0793064880371	870006	-15.824415	0.15836556255817413
55000	449	2881.3696508407593	1009.1954896765559	907.7934406471952	380.3372233851693	1803.8103118531183	518.4214714449997	429.73557	431.3275	134.20753044128418	130.60142921447755	875006	-16.379805	0.15185166895389557
