steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
5000	875	1.5599589347839355	18.7	15.5	7.0561242115547325	30.0	12.0	nan	nan	nan	nan	0	nan	1.0
10000	1766	3.364470958709717	19.5	18.0	4.089281382128433	26.0	15.0	0.06032464	0.20925057	1.268174171447754	1.083113193511963	1	0.6369936	0.9997000694274902
15000	1926	230.41405296325684	84.7	86.0	3.591656999213594	89.0	79.0	19.167204	19.197222	1.0196184307336806	1.0111935296654702	5001	-0.28420866	0.3447512686252594
20000	1976	412.6412799358368	1000.0	1000.0	0.0	1000.0	1000.0	30.840137	30.861753	1.1187075725197793	1.1199151054024696	10001	-0.45057002	0.12117429077625275
25000	1981	598.8811590671539	1000.0	1000.0	0.0	1000.0	1000.0	41.534695	41.623173	1.1821405120193957	1.206100828498602	15001	-0.9070514	0.06019704416394234
30000	1986	782.9448869228363	1000.0	1000.0	0.0	1000.0	1000.0	51.02487	51.13249	1.3635608068108558	1.3627737829089164	20001	-1.064666	0.05065220221877098
35000	1991	967.3374910354614	1000.0	1000.0	0.0	1000.0	1000.0	59.393494	59.473953	1.2123277811706066	1.2177661150693893	25001	-0.87320304	0.05439453199505806
40000	1996	1149.7997138500214	1000.0	1000.0	0.0	1000.0	1000.0	65.819	65.79822	1.1084221819043159	1.1278651557862758	30001	-1.009257	0.0299973301589489
45000	2001	1332.335487127304	1000.0	1000.0	0.0	1000.0	1000.0	71.25308	71.217545	0.9772118339687585	0.9904117598384619	35001	-0.97078425	0.04297345504164696
50000	2006	1514.3566491603851	1000.0	1000.0	0.0	1000.0	1000.0	74.59247	74.45026	1.0369826851040125	1.031798584461212	40001	-1.0005038	0.028861207887530327
